"","Calu3_mock3","Calu3_mock2","Calu3_mock1","Calu3_SARSCoV2_3","Calu3_SARSCoV2_2","Calu3_SARSCoV2_1","SRR1942929","SRR1942934","SRR1942956","SRR1942957","SRR1942960","SRR1942961","SRR1942989","SRR1942990","cluster","gene_type"
"ARHGAP42",-1.13634853977796,-1.91598665855778,-1.20772633730849,-0.168029517825563,-0.145412051279329,-0.291267304464048,-0.174965445161795,0.142338676109434,1.16560569944152,1.21281631327063,-0.052725067423502,-0.093711814004929,1.35118843995727,1.31422360702454,2,"Human"
"ISCA2",1.58784065486388,2.3143386453534,1.10072795915685,-0.339525878802449,-0.185745802095217,-0.442913096492662,-0.0791735917397761,-0.229006111103076,-0.289025277226104,-0.740649616467794,-0.213560899217477,-0.339486871090906,-1.52764773142515,-0.616172383713536,9,"Human"
"LARGE2",0.858500435547813,1.37384369057661,1.19706486213534,0.255965529708169,-0.212355165350832,0.181139972086514,0.533081384482568,0.0150670476158221,-0.516787067104603,-0.627313557531451,0.394395379084199,0.418785952127156,-2.05692503884598,-1.81446342453132,8,"Human"
"PACSIN3",1.48397884271182,1.81886692362658,1.43244488712378,0.242190144955745,-0.268813460750758,0.371913051640046,-0.113158155511625,-0.512261544546093,-0.683855834630762,-0.780419274612959,-0.215982957645305,-0.0666989630710529,-1.5756699548471,-1.13253370444231,4,"Human"
"TTC7B",-1.95062681522279,-1.03044688427817,-1.69886664931949,0.866083199858122,-0.0969701250802362,0.563584214587244,-0.0488899630410282,0.506623741999587,1.49518105115837,1.26517660700135,0.0980831951705399,0.143120243484086,0.0823183796678221,-0.194370195985401,11,"Human"
"SLC39A13",0.696409128808896,1.83021372732679,1.15700675397722,0.648396933538773,0.74773198605232,0.830117212578844,-0.148165766431427,-0.866756050236149,-0.729988559053382,-0.820935155512254,-0.205196771756891,-0.293403614238684,-1.45088674553538,-1.39454307951868,4,"Human"
"PSMC3",1.24843751471594,1.96891181500026,1.39330554729561,-0.227517223885799,-0.386523290111764,-0.382308677953533,0.176449107493487,0.0698256971836246,-1.39499635975679,-1.62312401449739,0.22913491307997,0.0290474036587406,-0.533653061976037,-0.566989370246335,9,"Human"
"RAPSN",-0.64529523782678,-0.559909789663849,-0.236672503695294,-0.253330694724264,-1.66211069653745,-0.459129734784699,-0.2832794028204,-0.264782529289215,1.08998595381706,-0.618982135160583,-0.0845992558269458,0.124048752150712,1.87457126114204,1.97948601321967,2,"Human"
"AGBL2",-1.05510408985853,-1.45019679597582,-0.794493177766382,1.13600231186886,1.82905946255842,0.890141853549293,-0.0896163976876013,0.0184065174688022,0.438360695263554,0.466761532322021,-0.21563271916426,0.460759795369246,-1.74222389447906,0.107774906531426,7,"Human"
"TC2N",-0.577889954602592,-1.36014911633265,-0.975710302864405,-0.932964228805557,-1.23131834830196,-1.19685787343644,1.0498766714573,1.23959777207432,0.637575374960899,0.602524786804389,1.10368452977028,1.13151321732757,0.191586965936449,0.318530506012389,3,"Human"
"CPSF2",-1.17367231866146,-1.82286925810925,-1.39386702070141,-0.253744807287678,-0.485375404638637,-0.795635621147131,0.471153452789205,0.760410959383364,0.747465976460454,0.515503964876411,0.440049566359703,0.352776685551528,1.35055854629489,1.28724527883004,2,"Human"
