Series16_A549ACE2_Mock_1,Series16_A549ACE2_Mock_2,Series16_A549ACE2_Mock_3,Series16_A549ACE2_SARSCoV2_1,Series16_A549ACE2_SARSCoV2_2,Series16_A549ACE2_SARSCoV2_3,Series16_A549ACE2_SARSCoV2_Rux_1,Series16_A549ACE2_SARSCoV2_Rux_2,Series16_A549ACE2_SARSCoV2_Rux_3
HARLEQUIN_Xp22.2,1,0,1,0,1,0,3,0,1
HARLEQUIN_Xq11.1,0,0,0,0,0,0,1,0,0
HARLEQUIN_Xq12,0,0,0,0,0,0,0,0,0
HARLEQUIN_Xq13.3,0,2,0,0,0,0,0,0,0
HARLEQUIN_Xq21.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_Xq23a,0,3,4,13,6,5,22,3,4
HARLEQUIN_Xq23b,0,0,6,0,2,2,0,4,2
HARLEQUIN_Xq24,0,0,0,0,0,0,0,0,0
HARLEQUIN_Xq28,0,0,0,0,0,0,0,0,0
HARLEQUIN_Yq11.21,0,0,0,0,0,0,0,0,0
HARLEQUIN_Yq11.221c,0,0,1,0,0,0,6,0,1
HERV3_14q32.33,1,8,9,12,11,6,11,3,4
HERV3_19p13.3,2,11,3,3,1,1,2,3,4
HERV3_19q13.42b,6,20,14,9,11,12,4,13,12
HERV3_19q13.42c,1,7,5,6,10,2,6,7,9
HERV3_19q13.42d,0,0,0,0,1,0,3,0,0
HERV3_4p14,1,0,0,0,0,0,0,0,0
HERV3_7q11.21,10,78,41,34,32,44,48,51,38
HERV3_7q33,68,298,208,362,433,442,533,548,449
HERV3_7q34a,1,2,4,1,0,2,0,0,0
HERV3_7q34c,1,0,1,0,0,0,2,0,1
HERV30_3q25.2,0,0,0,0,0,0,0,0,0
HERV4_12p11.21,0,0,1,0,0,0,1,0,0
HERV4_13q32.3,1,5,8,2,3,3,2,1,0
HERV4_15q26.1,2,4,6,12,14,4,14,5,7
HERV4_17p13.1,1,8,10,1,2,3,3,0,3
HERV4_19q13.43a,1,11,7,4,5,1,6,3,5
HERV4_19q13.43b,2,5,1,0,2,0,2,3,1
HERV4_1q22a,6,24,17,44,43,56,65,83,38
HERV4_1q22b,6,44,26,51,80,57,113,105,63
HERV4_4q22.1,7,12,19,31,30,22,5,3,0
HERV4_5q33.1,1,0,0,0,0,0,0,0,0
HERV9_10p11.21,0,0,1,0,0,0,0,0,0
HERV9_10p12.31,0,0,0,0,0,0,0,0,0
HERV9_10p13,0,0,0,0,0,0,0,0,0
HERV9_10q21.1b,0,0,0,2,0,0,2,0,0
HERV9_10q21.3,0,0,0,0,0,0,0,0,0
HERV9_10q23.33,0,0,2,1,1,0,1,1,0
HERV9_11p12,0,0,0,0,0,0,0,0,1
HERV9_11q21,0,2,5,4,5,2,9,11,7
HERV9_11q22.1b,1,0,0,0,0,0,0,0,2
HERV9_11q22.3,3,4,1,0,0,0,3,0,1
HERV9_12p12.3,0,0,0,0,0,0,0,0,0
HERV9_12q14.1,0,0,0,0,0,0,0,0,0
HERV9_12q21.33,0,0,0,0,0,0,0,0,0
HERV9_12q22b,0,0,0,0,0,0,0,0,0
HERV9_12q23.3,0,0,0,0,0,0,0,0,0
HERV9_12q24.32,0,0,0,0,0,0,0,0,0
HERV9_12q24.33a,0,0,0,0,0,0,0,0,0
HERV9_12q24.33b,0,0,0,0,0,0,0,0,0
HERV9_13q21.31,0,0,0,0,0,0,0,0,0
HERV9_13q31.2,0,0,0,0,0,0,0,0,0
HERV9_13q33.3,0,0,0,0,0,0,0,0,1
HERV9_13q34,0,0,2,1,0,0,0,1,1
HERV9_15q21.1a,0,0,0,0,0,0,0,0,0
HERV9_15q21.1b,0,0,0,0,0,0,0,0,0
HERV9_15q21.1c,0,0,0,0,0,0,0,0,0
HERV9_15q26.1,1,0,1,1,0,0,0,0,0
HERV9_17q11.2a,0,5,3,1,1,0,1,1,0
HERV9_17q11.2b,1,6,5,10,8,5,27,13,22
HERV9_17q22a,0,0,0,0,0,0,0,0,0
HERV9_17q22b,0,1,0,0,0,0,0,0,0
HERV9_17q22c,0,0,0,0,0,0,0,0,0
HERV9_18q11.2,0,0,0,1,0,0,0,0,0
HERV9_19p13.2,0,0,0,0,0,0,0,0,0
HERV9_19p13.3,0,3,2,2,0,0,2,9,6
HERV9_1p12,0,0,0,0,0,0,0,0,0
HERV9_1p31.1,3,7,2,0,0,0,7,3,1
HERV9_1p31.3,0,0,0,0,0,0,0,0,0
HERV9_1p32.2,0,0,0,0,0,0,0,0,0
HERV9_1p36.23,0,2,3,2,3,1,3,2,2
HERV9_1q24.3,0,0,0,0,0,0,0,0,0
HERV9_1q25.1,0,0,0,1,0,0,0,0,1
HERV9_1q25.3,0,0,0,0,0,0,0,0,0
HERV9_21q21.1,0,0,0,0,0,0,0,0,0
HERV9_2q14.1,0,0,0,0,0,0,0,0,0
HERV9_2q22.3,0,0,0,0,0,0,0,0,0
HERV9_2q35a,0,0,0,0,0,0,1,0,0
HERV9_2q35b,0,0,0,0,0,0,0,0,0
HERV9_3p21.2,0,0,0,0,0,0,0,0,0
HERV9_3p21.31,0,0,0,0,0,0,0,0,0
HERV9_3p24.3,0,0,0,0,0,0,0,0,0
HERV9_3q11.2,0,0,0,0,0,0,0,0,0
HERV9_3q25.1,0,0,1,1,0,0,1,0,0
HERV9_4q13.1a,0,0,0,0,0,0,0,0,0
HERV9_4q13.1b,0,0,0,0,0,0,0,0,0
HERV9_4q13.3,0,0,0,0,0,0,0,0,0
HERV9_4q28.3,0,0,0,0,0,0,0,0,0
HERV9_4q35.1,0,0,0,0,0,0,0,0,0
HERV9_5p14.2,0,0,0,0,0,0,0,0,0
HERV9_5p14.3a,0,0,0,0,0,0,0,0,0
HERV9_5p14.3b,0,0,0,0,0,0,0,0,0
HERV9_5q11.2,0,3,1,0,0,2,1,2,1
HERV9_5q13.2,4,4,9,3,1,0,6,3,0
HERV9_5q15,0,1,0,0,0,0,1,0,0
HERV9_5q22.3,0,0,0,0,0,0,0,0,0
HERV9_5q23.2,0,0,0,1,0,0,0,0,0
HERV9_5q23.3,0,0,0,0,1,1,1,0,1
HERV9_5q31.2,0,6,7,5,5,8,4,10,8
HERV9_5q31.3,0,0,0,0,0,0,0,1,0
HERV9_6p21.2,0,3,1,0,0,0,2,0,0
HERV9_6p24.3,0,0,0,1,0,0,0,0,0
HERV9_6q12,0,0,0,0,0,0,1,0,0
HERV9_6q13,0,0,0,2,0,1,3,0,1
HERV9_6q14.3b,0,0,0,0,0,0,0,0,0
HERV9_6q22.1,0,0,0,0,0,2,0,0,1
HERV9_6q24.3,0,0,0,0,0,0,0,0,0
HERV9_6q25.1,0,5,2,1,2,0,5,2,0
HERV9_7p11.2,0,0,0,0,0,0,0,0,0
HERV9_7p12.1,0,0,1,0,0,0,0,0,0
HERV9_7p14.1,0,0,0,0,0,0,0,0,0
HERV9_7p14.2,0,0,0,0,0,0,0,0,0
HERV9_7p21.1,0,0,0,0,0,0,0,0,0
HERV9_7q21.11,0,0,0,0,0,0,0,0,0
HERV9_7q21.13,0,2,2,0,0,0,0,0,2
HERV9_8p11.21,0,0,0,0,2,1,0,0,1
HERV9_8p11.22,0,0,0,0,0,0,0,0,0
HERV9_8p12,0,0,0,0,0,0,0,0,0
HERV9_8p21.2,0,0,0,0,0,0,0,0,0
HERV9_8q11.21a,0,0,0,0,0,0,0,0,0
HERV9_8q11.21b,0,0,0,0,0,1,2,1,0
HERV9_8q11.23a,1,0,1,1,0,1,1,0,0
HERV9_8q11.23b,0,0,0,0,0,0,0,1,3
HERV9_8q21.11a,0,0,1,0,0,0,0,0,0
HERV9_8q21.13,0,0,0,0,0,0,0,0,1
HERV9_8q21.3,0,0,0,0,0,0,0,0,0
HERV9_8q23.1,0,0,0,0,0,0,0,0,0
HERV9_9p21.3,0,0,0,0,0,0,0,0,0
HERV9_9q21.33,0,2,0,3,0,0,1,0,1
HERV9_Xq13.1,0,0,0,0,0,0,0,1,0
HERV9_Xq22.3b,0,0,0,0,0,0,0,0,0
HERV9_Xq23a,0,1,1,0,0,0,0,0,0
HERV9_Xq23b,0,0,0,0,0,0,0,0,0
HERV9_Xq25,0,0,0,0,0,0,0,0,0
HERV9_Yp11.2a,0,0,0,0,0,0,0,0,0
HERV9_Yp11.2b,0,0,1,0,1,0,0,1,0
HERV9_Yp11.2e,0,0,0,0,0,0,0,0,0
HERV9_Yq11.21,0,0,0,0,0,0,0,0,0
HERV9_Yq11.221a,0,0,0,0,0,0,0,0,0
