N3,N2,B1,B2,P3,P2,P1,N1,C1,C2,C3
ERV316A3_Xp21.2,1,0,0,0,4,2,1,15,0,0,0
ERV316A3_Xp22.11,2,2,0,0,7,12,5,3,3,2,6
ERV316A3_Xq21.1a,4,2,0,0,7,6,0,3,1,1,2
ERV316A3_Xq23b,2,4,0,0,14,7,1,8,0,0,0
ERV316A3_Xq26.1,8,14,0,0,29,18,13,16,29,43,30
ERV316A3_Xq26.3a,5,11,0,0,12,10,2,8,7,4,2
ERV316A3_Xq28b,100,117,3,0,65,190,87,368,30,16,26
ERV316A3_Xq28i,19,28,5,0,43,117,33,43,4,9,4
ERVL_10p14,1,0,0,0,16,17,8,8,4,0,0
ERVL_10q11.22a,22,27,0,0,32,79,9,60,0,0,0
ERVL_10q11.22b,0,0,0,0,0,0,0,0,0,0,0
ERVL_10q26.12,2,2,0,0,0,0,0,0,0,0,1
ERVL_11p14.1,3,3,0,1,2,3,0,2,1,1,0
ERVL_11p14.3,1,1,0,0,2,3,1,7,0,0,0
ERVL_11p15.5,3,0,0,0,1,3,2,4,0,0,0
ERVL_11q12.1,14,15,0,11,15,21,3,31,4,1,0
ERVL_12p11.22,5,2,0,0,19,15,6,18,1,0,0
ERVL_12p13.2,6,5,0,0,18,26,4,14,4,4,3
ERVL_12q21.31a,0,0,0,0,0,0,0,0,0,0,0
ERVL_12q22a,2,0,0,0,6,3,1,3,1,0,0
ERVL_12q22b,2,3,0,0,3,0,0,2,1,0,0
ERVL_13q13.1a,1,0,0,1,8,0,1,0,2,0,1
ERVL_14q22.1,6,3,0,1,4,2,8,8,14,8,1
ERVL_14q23.1,16,4,0,14,0,0,0,2,0,0,0
ERVL_15q13.2,0,0,0,0,0,4,0,0,0,0,0
ERVL_15q25.2,1,0,0,0,3,0,0,1,0,0,0
ERVL_16p12.2,161,96,3,0,135,153,96,223,1,2,0
ERVL_19q11,1,0,0,0,2,0,1,0,0,0,0
ERVL_1p34.2,1,1,0,0,1,0,3,1,0,0,0
ERVL_1p36.22a,10,8,2,0,11,10,21,7,0,0,0
ERVL_1p36.22b,0,0,0,0,0,0,0,0,0,0,0
ERVL_1q42.13,8,4,0,0,6,2,1,5,0,0,1
ERVL_1q44a,36,47,0,0,71,81,27,91,10,4,0
ERVL_1q44b,64,86,0,0,81,126,37,172,6,8,9
ERVL_1q44c,0,0,0,0,0,0,0,0,0,0,0
ERVL_21q21.1a,1,1,0,0,0,0,0,1,0,0,0
ERVL_22q12.1,25,3,0,9,116,78,48,49,8,0,3
ERVL_22q12.3b,21,16,0,0,29,67,10,55,1,3,0
ERVL_2p15,3,0,0,0,0,2,2,0,0,0,0
ERVL_2q14.1,7,13,0,0,4,18,7,32,5,7,9
ERVL_2q37.1,6,5,0,0,4,3,3,5,0,0,0
ERVL_5p13.3,2,0,0,0,0,0,0,0,0,0,0
ERVL_5q11.2,129,31,0,0,369,698,277,367,1,0,1
ERVL_6p24.2,1,0,0,0,1,1,0,3,2,1,3
ERVL_6p25.1,1,0,0,0,3,1,0,1,0,0,0
ERVL_6q16.3a,3,1,0,0,3,4,3,1,0,1,1
ERVL_6q24.3,12,7,2,0,7,20,12,10,11,6,19
ERVL_7p21.2c,1,0,0,0,0,0,0,0,0,0,0
ERVL_7q21.13b,1,0,0,0,0,3,0,3,0,0,0
ERVL_8p23.1,1,1,0,0,1,0,3,1,1,4,0
ERVL_9q33.2a,2,1,0,0,3,1,3,2,3,1,2
ERVL_9q33.2b,1,0,0,0,0,0,0,0,0,0,0
ERVL_Xp11.22a,302,338,12,15,607,697,310,913,220,194,316
ERVL_Xp11.22b,1,0,0,0,3,0,0,0,0,0,0
